OFFICE,QUARTER,PROGRAM,CATEGORY,AMOUNT
2018 HON. A. DONALD MCEACHIN,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,763.77
2018 HON. A. DONALD MCEACHIN,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14303.07
2018 HON. A. DONALD MCEACHIN,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5580
2018 HON. A. DONALD MCEACHIN,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,239502.79
2018 HON. A. DONALD MCEACHIN,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23812.62
2018 HON. A. DONALD MCEACHIN,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14611.47
2018 HON. A. DONALD MCEACHIN,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2395.27
2018 HON. A. DONALD MCEACHIN,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2177.84
2018 HON. A. DREW FERGUSON IV,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5394.64
2018 HON. A. DREW FERGUSON IV,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,12400.14
2018 HON. A. DREW FERGUSON IV,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6767.95
2018 HON. A. DREW FERGUSON IV,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,220786.11
2018 HON. A. DREW FERGUSON IV,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,10874.65
2018 HON. A. DREW FERGUSON IV,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,20058.82
2018 HON. A. DREW FERGUSON IV,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1621.51
2018 HON. A. DREW FERGUSON IV,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9932.45
2018 HON. ADAM B. SCHIFF,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,456
2018 HON. ADAM B. SCHIFF,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4562.71
2018 HON. ADAM B. SCHIFF,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8744.76
2018 HON. ADAM B. SCHIFF,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,274083.67
2018 HON. ADAM B. SCHIFF,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5912.62
2018 HON. ADAM B. SCHIFF,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,33509.97
2018 HON. ADAM B. SCHIFF,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4160.76
