OFFICE,QUARTER,PROGRAM,CATEGORY,AMOUNT
2018 HON. A. DONALD MCEACHIN,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,763.77
2018 HON. A. DONALD MCEACHIN,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,137.16
2018 HON. A. DONALD MCEACHIN,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3720
2018 HON. A. DONALD MCEACHIN,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,215589.26
2018 HON. A. DONALD MCEACHIN,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,952.1
2018 HON. A. DONALD MCEACHIN,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,9500.11
2018 HON. A. DONALD MCEACHIN,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1098.94
2018 HON. A. DONALD MCEACHIN,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1973.73
2018 HON. A. DREW FERGUSON IV,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,609
2018 HON. A. DREW FERGUSON IV,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,28832.52
2018 HON. A. DREW FERGUSON IV,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4500
2018 HON. A. DREW FERGUSON IV,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,227551.34
2018 HON. A. DREW FERGUSON IV,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3296.47
2018 HON. A. DREW FERGUSON IV,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,13454.54
2018 HON. A. DREW FERGUSON IV,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1868.78
2018 HON. A. DREW FERGUSON IV,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8162.38
2018 HON. ADAM B. SCHIFF,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,456
2018 HON. ADAM B. SCHIFF,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,443.98
2018 HON. ADAM B. SCHIFF,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6474.76
2018 HON. ADAM B. SCHIFF,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,272970.8
2018 HON. ADAM B. SCHIFF,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,683.05
2018 HON. ADAM B. SCHIFF,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25227.78
